Model,MAE,RMSE,Beat_MAE,Beat_RMSE,MAE_Improvement_pct,RMSE_Improvement_pct
DNN-1,0.013434572145342827,0.017679490113915928,True,True,47.928014940531675,45.26473648942437
Top-3 Ensemble,0.020569406994638176,0.02438586787774109,True,True,20.273616299852034,24.50195703485731
Top3Ensemble,0.020569406994638176,0.02438586787774109,True,True,20.273616299852034,24.50195703485731
DNN-2,0.024533208459615707,0.028335664756181142,True,True,4.910044730171677,12.273483726993375
Optimal Blend,0.025394414610957834,0.02996000674587106,True,True,1.5720363916363043,7.244561158293939
OptimalBlend,0.025394414610957834,0.02996000674587106,True,True,1.5720363916363043,7.244561158293939
StackEnsemble,0.033048331817685295,0.04007180553989137,False,False,-28.094309370873233,-24.061317460963984
Stacking,0.033048331817685295,0.04007180553989137,False,False,-28.094309370873233,-24.061317460963984
Weighted Ensemble,0.036003670021270445,0.04002717235029779,False,False,-39.54910860957537,-23.92313421144826
WeightedEnsemble,0.036003670021270445,0.04002717235029779,False,False,-39.54910860957537,-23.92313421144826
Avg Ensemble,0.051488883205638984,0.05641563126482522,False,False,-99.5693147505387,-74.66139710472203
AvgEnsemble,0.051488883205638984,0.05641563126482522,False,False,-99.5693147505387,-74.66139710472203
GradBoost,0.05993388174708725,0.06643622000733913,False,False,-132.30186723677227,-105.68489166358863
LightGBM,0.06351522371264386,0.06931547280548578,False,False,-146.1830376459064,-114.59898701388784
RandomForest,0.06461353782734967,0.07066420749921291,False,False,-150.44006909825453,-118.7746362204734
ExtraTrees,0.06588344384659718,0.07230523673194446,False,False,-155.36218545192705,-123.85522208032339
XGBoost,0.06967566162347794,0.07439469826424926,False,False,-170.06070396696873,-130.32414323296982
