Model,MAE,RMSE,Beat_MAE,Beat_RMSE,MAE_Improvement_pct,RMSE_Improvement_pct
Stacking,0.03957182279939758,0.0517281730985117,False,False,-325.5034709612643,-297.9090238347054
StackEnsemble,0.03957182279939758,0.0517281730985117,False,False,-325.5034709612643,-297.9090238347054
Optimal Blend,0.06601967041542948,0.07451306383363218,False,False,-609.8889291981666,-473.1774141048629
OptimalBlend,0.06601967041542948,0.07451306383363218,False,False,-609.8889291981666,-473.1774141048629
GradBoost,0.07800366930220788,0.08259822152939454,False,False,-738.7491322818053,-535.3709348414966
RandomForest,0.07870048884581224,0.08343772167443389,False,False,-746.2418155463681,-541.8286282648761
Top-3 Ensemble,0.07993457954447615,0.08432320108164555,False,False,-759.5116080051199,-548.6400083203504
Top3Ensemble,0.07993457954447615,0.08432320108164555,False,False,-759.5116080051199,-548.6400083203504
LightGBM,0.0833029290472136,0.08746290341498884,False,False,-795.730419862512,-572.7915647306834
DNN-2,0.08368697762489319,0.09782516652654107,False,False,-799.8599744612171,-652.5012809733929
Weighted Ensemble,0.08444247403526116,0.09112428788209478,False,False,-807.9835917770017,-600.9560606314983
WeightedEnsemble,0.08444247403526116,0.09112428788209478,False,False,-807.9835917770017,-600.9560606314983
Avg Ensemble,0.08471979922765956,0.09146986016844989,False,False,-810.9655830931135,-603.6143089880761
AvgEnsemble,0.08471979922765956,0.09146986016844989,False,False,-810.9655830931135,-603.6143089880761
DNN-1,0.08907993882894516,0.10155301783386693,False,False,-857.8488046123135,-681.1770602605148
XGBoost,0.09004028141498566,0.09376329089366302,False,False,-868.1750689783405,-621.2560837974079
ExtraTrees,0.09028777015868213,0.09970710004174864,False,False,-870.8362382653993,-666.9776926288358
