Model,MAE,RMSE,Beat_MAE,Beat_RMSE,MAE_Improvement_pct,RMSE_Improvement_pct
StackEnsemble,0.0349866121964038,0.041482683629988575,False,False,-260.686723674266,-226.63530417313837
Stacking,0.0349866121964038,0.041482683629988575,False,False,-260.686723674266,-226.63530417313837
DNN-1,0.03620855510234833,0.040963316952623965,False,False,-273.2840732200859,-222.5458027765667
DNN-2,0.039522044360637665,0.04398009592579775,False,False,-307.44375629523364,-246.29996791966735
Top-3 Ensemble,0.042020467551508144,0.04668554321595776,False,False,-333.2006964073004,-267.60270248785633
Top3Ensemble,0.042020467551508144,0.04668554321595776,False,False,-333.2006964073004,-267.60270248785633
Optimal Blend,0.043711728250067514,0.048726699967371424,False,False,-350.6363737120362,-283.6748028926884
OptimalBlend,0.043711728250067514,0.048726699967371424,False,False,-350.6363737120362,-283.6748028926884
Weighted Ensemble,0.05454047595293723,0.059358474585671596,False,False,-462.272947968425,-367.38956366670556
WeightedEnsemble,0.05454047595293723,0.059358474585671596,False,False,-462.272947968425,-367.38956366670556
Avg Ensemble,0.058379202547460846,0.0632598156287375,False,False,-501.84744894289526,-398.108784478248
AvgEnsemble,0.058379202547460846,0.0632598156287375,False,False,-501.84744894289526,-398.108784478248
GradBoost,0.06030899355390931,0.06553858875919036,False,False,-521.7422015866939,-416.0518799936249
LightGBM,0.0654647887000097,0.07014171565946885,False,False,-574.8947288660793,-452.29697369660505
ExtraTrees,0.0672138777465628,0.07291195077332231,False,False,-592.926574706833,-474.1098486088371
RandomForest,0.0673953849791978,0.07322868252243173,False,False,-594.7977832906988,-476.6037993892262
XGBoost,0.07275499403476715,0.07716076788570307,False,False,-650.0514848945068,-507.5651014622289
