case_idx,test_battery,train_batteries,h2o_mae,h2o_rmse,mae_naive,mae_chronos_raw,mae_chronos_cal,mae_hybrid_final,rmse_hybrid_final,beat_mae,beat_rmse,context_weights,chronos_blend_mode,a_affine,b_affine,val_mae_ah,b0006_residual_fallback,improvement_vs_chronos_raw_ah,improvement_vs_naive_ah,residual_gate_alpha,residual_gate_mean,residual_gate_min,residual_gate_max,chronos_conf_mean
0,B0005,B0006+B0007+B0018,0.0139,0.0178,0.0032917605713009834,0.003184241168642245,0.003082449082285166,0.0030796776991337538,0.005122184842197927,1,1,confidence_inv_var_per_window,confidence_inv_var,0.9996019379614497,-0.0028700254774883032,0.0033957016648260125,0,0.00010456346950849134,0.00021208287216722965,0.85,0.6181337833404541,0.20380523800849915,0.9220786094665527,0.03564867036690648
1,B0006,B0005+B0007+B0018,0.0141,0.0181,0.003190578892827034,0.015989998471788173,0.015900801867246628,0.01587871089577675,0.032190542971299405,0,0,confidence_inv_var_per_window,confidence_inv_var,0.9991651395638391,-0.004502362417923156,0.0033375036135438766,0,0.00011128757601142417,-0.012688132002949715,0.85,0.44790637493133545,0.20154374837875366,0.8802875280380249,0.03567292072265181
2,B0007,B0005+B0006+B0018,0.0169,0.0217,0.003434389131143689,0.003661342497983297,0.0036204871721565723,0.004168721381574869,0.00864442553683964,1,1,confidence_inv_var_per_window,confidence_inv_var,0.9991363801942023,-0.003322855175310662,0.0035112843764154218,0,-0.000507378883591572,-0.00073433225043118,0.85,0.6026535630226135,0.2017819583415985,0.9523488283157349,0.21028114391358513
3,B0018,B0005+B0006+B0007,0.0101,0.0129,0.003342556534335017,0.003312280845661356,0.003278347197920084,0.0032777143642306328,0.005894946304497002,1,1,confidence_inv_var_per_window,confidence_inv_var,0.9997129294207264,-0.0022176965345966637,0.0028244451276693548,0,3.4566481430723175e-05,6.484217010438442e-05,0.85,0.507661759853363,0.20179656147956848,0.8900333642959595,0.04256498224589014
